                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5092,                 1.8053,                 1.1934,                0.66939,                0.44337,                0.41007,                0.24691,                 1.4688,                0.92187,                 1.1555,               0.070833,              0.0032407,              0.0032407
                      1,                 1.3708,                 1.0192,                 1.1153,                0.56336,                0.59007,                 0.6213,                0.37934,                 1.3195,                0.94506,                 1.1196,               0.040573,              0.0063137,              0.0063137
                      2,                  1.351,                0.99378,                 1.1174,                0.83451,                0.68215,                0.73797,                0.45871,                  1.278,                 1.0479,                  1.129,               0.010049,              0.0091227,              0.0091227
                      3,                 1.3758,                0.90546,                 1.1146,                0.78813,                0.66328,                0.73256,                0.43907,                 1.3071,                0.71534,                 1.1282,               0.008812,               0.008812,               0.008812
                      4,                 1.3419,                0.76528,                 1.1135,                0.70358,                0.77862,                0.77938,                0.47305,                  1.292,                0.75921,                 1.0916,               0.008812,               0.008812,               0.008812
                      5,                 1.3413,                0.72988,                 1.0953,                0.74817,                 0.8065,                  0.821,                0.49494,                 1.2576,                0.73655,                 1.0816,               0.008416,               0.008416,               0.008416
                      6,                 1.3143,                0.65868,                 1.0932,                0.85107,                0.71881,                0.81753,                0.47669,                  1.428,                0.64138,                 1.1334,                0.00802,                0.00802,                0.00802
                      7,                 1.2917,                 0.6412,                 1.0917,                0.86757,                0.73021,                 0.8198,                0.48716,                  1.288,                0.59548,                 1.0842,               0.007624,               0.007624,               0.007624
                      8,                 1.2677,                0.63056,                   1.07,                0.84635,                0.72993,                0.82465,                0.49457,                 1.2382,                0.59882,                 1.0864,               0.007228,               0.007228,               0.007228
                      9,                 1.2549,                0.62062,                 1.0732,                0.83429,                0.78987,                0.83895,                0.51562,                 1.2257,                 0.5685,                 1.0805,               0.006832,               0.006832,               0.006832
                     10,                 1.2334,                0.60342,                 1.0452,                0.79918,                0.80063,                0.84997,                0.49771,                 1.2373,                0.57229,                  1.068,               0.006436,               0.006436,               0.006436
                     11,                 1.2218,                0.57351,                 1.0484,                0.84493,                0.81641,                 0.8762,                0.51237,                 1.3028,                0.56851,                 1.0938,                0.00604,                0.00604,                0.00604
                     12,                 1.1985,                0.57699,                 1.0452,                0.84816,                0.80341,                0.86154,                 0.5314,                 1.3054,                0.58613,                 1.1097,               0.005644,               0.005644,               0.005644
                     13,                 1.1945,                0.56119,                 1.0526,                0.82695,                0.80739,                0.86765,                0.53279,                 1.2079,                0.53353,                 1.0673,               0.005248,               0.005248,               0.005248
                     14,                 1.1648,                0.54605,                 1.0342,                0.84894,                0.85688,                0.89483,                0.54232,                  1.195,                0.52369,                 1.0655,               0.004852,               0.004852,               0.004852
                     15,                 1.1323,                0.52428,                 1.0199,                0.88361,                0.86927,                0.90656,                0.54562,                 1.1974,                0.51992,                 1.0656,               0.004456,               0.004456,               0.004456
                     16,                 1.1489,                0.53559,                  1.017,                0.86567,                0.82155,                0.88256,                0.53666,                 1.2208,                0.52471,                  1.065,                0.00406,                0.00406,                0.00406
                     17,                 1.1245,                0.51723,                 1.0091,                0.89768,                0.88747,                0.91719,                0.55021,                 1.2046,                0.50369,                 1.0527,               0.003664,               0.003664,               0.003664
                     18,                 1.1216,                0.51403,                 1.0234,                0.90797,                0.85432,                0.91983,                0.56644,                 1.1827,                 0.4913,                 1.0544,               0.003268,               0.003268,               0.003268
                     19,                 1.0952,                0.50251,                 1.0065,                0.86623,                0.89204,                0.90563,                0.55482,                 1.1768,                0.49776,                 1.0537,               0.002872,               0.002872,               0.002872
                     20,                 1.0886,                0.49301,                 1.0134,                0.84913,                0.89814,                0.89181,                0.56137,                 1.1688,                 0.4889,                 1.0451,               0.002476,               0.002476,               0.002476
                     21,                 1.0875,                0.48657,                 1.0005,                0.85843,                0.83727,                0.89879,                0.56523,                 1.1628,                0.48249,                 1.0416,                0.00208,                0.00208,                0.00208
                     22,                 1.0625,                0.47169,                0.99037,                0.84413,                0.90299,                0.91285,                0.57594,                 1.1733,                0.47904,                 1.0474,               0.001684,               0.001684,               0.001684
                     23,                 1.0555,                0.47346,                0.99394,                0.84629,                0.90768,                  0.915,                0.58396,                 1.1808,                0.47426,                 1.0532,               0.001288,               0.001288,               0.001288
                     24,                  1.057,                0.46466,                0.98959,                 0.8514,                0.91606,                0.91401,                0.57662,                 1.1706,                0.46331,                 1.0512,               0.000892,               0.000892,               0.000892
